index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
994,Indiana University-East,"2325 Chester Blvd, Richmond, Indiana 47374-1289",www.iue.edu/,"4-year, Public",2447.0,2325 Chester Blvd, Richmond,Indiana,47374-1289,0,Not-For-Profit,False
995,Indiana University-Kokomo,"2300 S Washington St, Kokomo, Indiana 46904-9003",www.iuk.edu,"4-year, Public",2690.0,2300 S Washington St, Kokomo,Indiana,46904-9003,0,Not-For-Profit,False
996,Indiana University-Northwest,"3400 Broadway, Gary, Indiana 46408-1197",www.iun.edu,"4-year, Public",4794.0,3400 Broadway, Gary,Indiana,46408-1197,0,Not-For-Profit,False
997,Indiana University-Purdue University-Fort Wayne,"2101 E Coliseum Blvd, Fort Wayne, Indiana 46805-1499",www.ipfw.edu,"4-year, Public",12338.0,2101 E Coliseum Blvd, Fort Wayne,Indiana,46805-1499,0,Not-For-Profit,False
998,Indiana University-Purdue University-Indianapolis,"425 University Blvd, Indianapolis, Indiana 46202-5143",www.iupui.edu,"4-year, Public",30300.0,425 University Blvd, Indianapolis,Indiana,46202-5143,0,Not-For-Profit,False
999,Indiana University-South Bend,"1700 Mishawaka Ave, South Bend, Indiana 46634-7111",www.iusb.edu,"4-year, Public",7712.0,1700 Mishawaka Ave, South Bend,Indiana,46634-7111,0,Not-For-Profit,False
1000,Indiana University-Southeast,"4201 Grant Line Rd, New Albany, Indiana 47150",www.ius.edu,"4-year, Public",6482.0,4201 Grant Line Rd, New Albany,Indiana,47150,0,Not-For-Profit,False
1001,Indiana Wesleyan University,"4201 S Washington St, Marion, Indiana 46953-4974",www.indwes.edu,"4-year, Private not-for-profit",15442.0,4201 S Washington St, Marion,Indiana,46953-4974,0,Not-For-Profit,False
1002,Ingalls Memorial Hospital Dietetic Internship,"One Ingalls Dr, Harvey, Illinois 60426-3558",www.ingallshealthsystems.org,"4-year, Private not-for-profit",7.0,One Ingalls Dr, Harvey,Illinois,60426-3558,0,Not-For-Profit,False
1003,Institute for Clinical Social Work,"200 N. Michigan Avenue, Suite 407, Chicago, Illinois 60601-5908",www.icsw.edu,"4-year, Private not-for-profit",92.0,"200 N. Michigan Avenue, Suite 407", Chicago,Illinois,60601-5908,0,Not-For-Profit,False
1004,Institute for the Psychological Sciences,"2001 Jefferson Davis Highway, Suite 511, Arlington, Virginia 22202",www.ipsciences.edu,"4-year, Private not-for-profit",62.0,"2001 Jefferson Davis Highway, Suite 511", Arlington,Virginia,22202,0,Not-For-Profit,False
1005,Institute of American Indian and Alaska Native Culture,"83 Avan Nu Po Road, Santa Fe, New Mexico 87508-1300",www.iaia.edu,"4-year, Public",249.0,83 Avan Nu Po Road, Santa Fe,Mexico,87508-1300,0,Not-For-Profit,False
1006,Institute of Clinical Acupuncture & Oriental Med,"100 N. Beretania Street, Suite 203B, Honolulu, Hawaii 96817",www.orientalmedicine.edu,"4-year, Private for-profit",32.0,"100 N. Beretania Street, Suite 203B", Honolulu,Hawaii,96817,0,For-Profit,False
1007,Institute of Transpersonal Psychology,"1069 East Meadow Cr, Palo Alto, California 94303",www.itp.edu,"4-year, Private not-for-profit",461.0,1069 East Meadow Cr, Palo Alto,California,94303,0,Not-For-Profit,False
1008,Inter American University of Puerto Rico-Aguadilla,"Barrio Corrales Sector Calero, Aguadilla, Puerto Rico 00602",www.aguadilla.inter.edu,"4-year, Private not-for-profit",4467.0,Barrio Corrales Sector Calero, Aguadilla,Rico,00602,0,Not-For-Profit,False
1009,Inter American University of Puerto Rico-Arecibo,"Bo San Daniel Sector Las Canelas Carretera 2, Arecibo, Puerto Rico 00614",www.arecibo.inter.edu,"4-year, Private not-for-profit",4729.0,Bo San Daniel Sector Las Canelas Carretera 2, Arecibo,Rico,00614,0,Not-For-Profit,False
1010,Inter American University of Puerto Rico-Barranquitas,"Bo Helechal Carr 156 Interseccion 719, Barranquitas, Puerto Rico 00794-0517",www.br.inter.edu,"4-year, Private not-for-profit",2329.0,Bo Helechal Carr 156 Interseccion 719, Barranquitas,Rico,00794-0517,0,Not-For-Profit,False
